企业名称,经营状态,信用代码,省份,城市,区域,城市基建,能源,交通,水利,工业服务,施工,设计/EPC,投资,其他,EPC,已清洗
保靖县凌建能源有限公司,存续,91433125MAC2WKED5D,湖南省,株洲,芦淞,,,,,,,,社投,,,#N/A
保靖县毛沟自来水有限公司,存续,91433125MA4R3PNR0W,湖南省,湘西,保靖,供水(自来水）,,,,,,,社投,,,#N/A
保靖县盛昌新能源有限公司,存续,91433125MA4TC6WM6T,湖南省,湘西,保靖,城市燃气,,,,,,,社投,,,#N/A
保靖县香火山山泉水有限责任公司,存续,91433125MA4L4MU9XY,湖南省,湘西,保靖,水务,,,,,,,社投,,,#N/A
保靖县酉水建筑工程有限公司,存续,914331250726489733,湖南省,湘西,保靖,传统施工,,,,,施工,,,,,914331250726489733
保靖县自来水公司,存续,91433125189720318C,湖南省,湘西,保靖,供水(自来水）,,,,,,,社投,,,#N/A
保靖酉信建设工程有限责任公司,存续,91433125MA4Q4DKK65,湖南省,湘西,保靖,传统施工,,,,,施工,,,,,91433125MA4Q4DKK65
保靖中燃城镇燃气有限公司,存续,91433125MA4PL00X1F,湖南省,长沙,雨花,城市燃气,,,,,,,社投,,,#N/A
保靖中辕爱能新能源有限公司,存续,91433125MACNLDKQXR,湖南省,湘西,保靖,城市供热,,,,,,,社投,,,#N/A
北控（衡阳）环境科技有限公司,存续,914304227853513794,湖南省,衡阳,衡南,环境环保,,,,,,,社投,,,#N/A
必能技术发展有限公司,存续,91430104MA4T4H7Y1C,湖南省,长沙,望城,传统施工,,,,,施工,,,,,91430104MA4T4H7Y1C
碧湘园（平江）水务有限公司,存续,91430626079159259C,湖南省,岳阳,平江,水务,,,,,,,社投,,,#N/A
博拓建设有限公司,存续,91431223MA4L6K6N7H,湖南省,怀化,中方,传统施工,,,,,施工,,,,,#N/A
步步高商业连锁股份有限公司,存续,91430300755843372T,湖南省,湘潭,雨湖,,,,,工业服务,,,社投,,,#N/A
茶陵安洁环境治理有限责任公司,存续,91430224MA4PMFXU3X,湖南省,株洲,茶陵,环境环保,,,,,,,社投,,,#N/A
茶陵浩鹏新能源有限公司,存续,91430224MADH59HW8B,湖南省,株洲,茶陵,城市供热,,,,,,,社投,,,#N/A
茶陵金泰富家新能源有限公司,存续,91430224MADJGCP583,湖南省,长沙,雨花,,电力,,,,,,社投,,,#N/A
茶陵龙盛矿贸有限公司,存续,914302240771576635,湖南省,株洲,茶陵,,矿冶,,,,,,公投,,,#N/A
茶陵清源水生态治理有限公司,存续,91430224MA4M1KW91C,湖南省,株洲,茶陵,环境环保,,,,,,,社投,,,#N/A
茶陵盛泰建筑有限公司,存续,91430224673570999E,湖南省,株洲,茶陵,传统施工,,,,,施工,,,,,#N/A
茶陵首创水务有限责任公司,存续,914302246828298354,湖南省,株洲,茶陵,水务,,,,,,,社投,,,#N/A
茶陵顺来环境治理有限公司,存续,91430224MADMG5M792,湖南省,株洲,茶陵,环境环保,,,,,,,社投,,,#N/A
茶陵穗安园林绿化有限公司,存续,91430224MADADXAN27,湖南省,株洲,茶陵,传统施工,,,,,施工,,,,,#N/A
茶陵县城东自来水有限公司,存续,91430224MA4RMKR05K,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县渡里光伏发电有限公司,存续,91430224MA4L6T478E,湖南省,株洲,茶陵,,电力,,,,,,社投,,,#N/A
茶陵县甘泉自来水有限公司,存续,91430224MA4L6NXM91,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县给力液化石油气有限公司,存续,91430224MA4PQMN3XG,湖南省,衡阳,衡阳,城市燃气,,,,,,,社投,,,#N/A
茶陵县国有资产经营有限责任公司,存续,91430224753357135K,湖南省,株洲,茶陵,环境环保,,,,,,,社投,,,#N/A
茶陵县宏景园林有限公司,存续,91430224MA4QK3EM42,湖南省,株洲,茶陵,传统施工,,,,,施工,,,,,#N/A
茶陵县鸿欣工程有限公司,存续,91430224MA4RMH152Q,湖南省,株洲,茶陵,传统施工,,,,,施工,,,,,91430224MA4RMH152Q
茶陵县虎踞镇自来水有限公司,存续,91430224077173591Y,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县环湖环境治理有限公司,存续,91430224MA4LBC217B,湖南省,株洲,茶陵,环境环保,,,,,,,社投,,,#N/A
茶陵县浣溪镇小寒自来水有限责任公司,存续,91430224077173620A,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县浣溪自来水有限公司,存续,91430224MA4L2HAD0X,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县火田红色自来水有限公司,存续,91430224MA4R0DT413,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县吉祥污水处理有限公司,存续,91430224MA4PW22Q2N,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县江边能源有限公司,存续,91430224MA7J5PG98L,湖南省,长沙,天心,,电力,,,,,,社投,,,#N/A
茶陵县界枣自来水有限责任公司,存续,914302240771735241,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
